method,lambda,random_seed,h_norm,size_std,max_min_ratio,silhouette,ari,time,cluster_sizes,dataset
ER-K-Means,2.0,16,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.005057096481323242,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,17,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0033071041107177734,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,18,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0034227371215820312,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,19,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003299713134765625,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,20,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0044095516204833984,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,21,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002300262451171875,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,22,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0022954940795898438,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,23,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.00419306755065918,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,24,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002588033676147461,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,25,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.004902362823486328,"[150, 700, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,26,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.002296924591064453,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,27,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0037670135498046875,"[700, 150, 150]",syn_3c_imbalance_70
ER-K-Means,2.0,28,0.7453115759450955,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.003786325454711914,"[150, 150, 700]",syn_3c_imbalance_70
ER-K-Means,2.0,29,0.7453115759450956,259.27248643506744,4.666666666666667,0.8154066639696435,1.0,0.0039637088775634766,"[150, 700, 150]",syn_3c_imbalance_70
K-Means,0.0,0,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08318853378295898,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,1,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.015009403228759766,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,2,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08592820167541504,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,3,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.07912087440490723,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,4,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.015003204345703125,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,5,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08849239349365234,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,6,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08375763893127441,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,7,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.015008687973022461,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,8,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08634686470031738,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,9,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.01309514045715332,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,10,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.01379704475402832,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,11,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.013009071350097656,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,12,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.07696270942687988,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,13,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.08727169036865234,"[100, 800, 100]",syn_3c_imbalance_80
K-Means,0.0,14,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.050528764724731445,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,15,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.012367010116577148,"[800, 100, 100]",syn_3c_imbalance_80
K-Means,0.0,16,0.581671865715156,329.9831645537222,8.0,0.8120127963775128,1.0,0.010893106460571289,"[800, 100, 100]",syn_3c_imbalance_80
